INFO 2025-06-24 19:47:16,646 autoreload Watching for file changes with StatReloader
DEBUG 2025-06-24 19:47:16,647 autoreload Waiting for apps ready_event.
DEBUG 2025-06-24 19:47:17,140 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-06-24 19:47:17,160 autoreload Watching dir C:\Users\ahmet\FinalProje\venv\Lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2025-06-24 19:47:17,160 autoreload Watching dir C:\Users\ahmet\FinalProje\backend\personaldiary\locale with glob **/*.mo.
DEBUG 2025-06-24 19:47:17,160 autoreload Watching dir C:\Users\ahmet\FinalProje\venv\Lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2025-06-24 19:47:17,160 autoreload Watching dir C:\Users\ahmet\FinalProje\venv\Lib\site-packages\rest_framework_simplejwt\locale with glob **/*.mo.
DEBUG 2025-06-24 19:47:17,161 autoreload Watching dir C:\Users\ahmet\FinalProje\venv\Lib\site-packages\corsheaders\locale with glob **/*.mo.
DEBUG 2025-06-24 19:47:17,161 autoreload Watching dir C:\Users\ahmet\FinalProje\backend\personaldiary\diaryapp\locale with glob **/*.mo.
DEBUG 2025-06-24 19:47:17,233 utils (0.002) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2025-06-24 19:47:17,236 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2025-06-24 19:47:17,305 autoreload File C:\Users\ahmet\FinalProje\venv\Lib\site-packages\django\core\management\base.py first seen with mtime 1747690617.1881835
DEBUG 2025-06-24 19:47:17,305 autoreload File C:\Users\ahmet\AppData\Local\Programs\Python\Python313\Lib\encodings\utf_8.py first seen with mtime 1738676256.0
DEBUG 2025-06-24 19:47:17,305 autoreload File C:\Users\ahmet\AppData\Local\Programs\Python\Python313\Lib\secrets.py first seen with mtime 1738676256.0
DEBUG 2025-06-24 19:47:17,305 autoreload File C:\Users\ahmet\FinalProje\venv\Lib\site-packages\django\db\models\functions\json.py first seen with mtime 1747690617.326594
DEBUG 2025-06-24 19:47:17,305 autoreload File C:\Users\ahmet\FinalProje\venv\Lib\site-packages\django\contrib\postgres\validators.py first seen with mtime 1747690616.4488506
DEBUG 2025-06-24 19:47:17,305 autoreload File C:\Users\ahmet\AppData\Local\Programs\Python\Python313\Lib\pathlib\_local.py first seen with mtime 1738676256.0
